Category,Group,sites_n,n_obs,mean,sd,median,ci_low,ci_high
Drought (Drought vs ND),Drought,40,10957,-3.2865747923701742,2.1829677562657066,-3.5,-3.32745353814009,-3.2456960466002585
Drought (Drought vs ND),ND,40,38687,-3.075309535502882,2.0985382493935436,-3,-3.096221558198886,-3.0543975128068777
