Category,Group,sites_n,n_obs,mean,sd,median,ci_low,ci_high
Aridity class,Arid,13,23228,-3.475030136042707,2.213358207857044,-3.5,-3.503495485480545,-3.446564786604869
Aridity class,Humid,27,26416,-2.8114589642640824,1.9816279142838178,-3,-2.8353566901143603,-2.7875612384138044
