Category,Group,sites_n,n_obs,mean,sd,median,ci_low,ci_high,tukey
Drought severity,LS,40,8954,-3.4030600848782666,2.2119199270358467,-3.5,-3.448881412020706,-3.357238757735827,c
Drought severity,MS,15,2003,-2.765851223165252,1.9663990913458553,-3,-2.852018411640217,-2.679684034690287,a
Drought severity,ND,40,38687,-3.075309535502882,2.0985382493935436,-3,-3.096221558198886,-3.0543975128068777,b
