Category,AI_cat,Drought,sites_n,n_obs,mean,sd,median,ci_low,ci_high
AI_cat,Arid,ND,13,18699,-3.4209583400181827,2.17415704169167,-3.5,-3.4521226793437987,-3.3897940006925666
AI_cat,Arid,Drought,13,4529,-3.6982777655111505,2.3554944117345458,-4,-3.7668968806990892,-3.6296586503232118
AI_cat,Humid,ND,27,19988,-2.7519511707024216,1.9711631743684035,-2.5,-2.7792794506710226,-2.7246228907338206
AI_cat,Humid,Drought,27,6428,-2.996499688861232,2.0027082660203592,-3,-3.0454673818094458,-2.9475319959130184
