Category,Veg,t,df,p,p_adj,sig,baseline,comparison,med_diff
Veg,DBF,5.933302774086254,3489.3612183899463,3.258896641821008e-9,3.258896641821008e-9,***,ND,Drought,-0.5
Veg,ENF,5.618357985492788,2719.256015822482,2.1233283701425052e-8,2.1233283701425052e-8,***,ND,Drought,-0.5
Veg,GRA,2.625493762398908,6254.607615226609,0.008673402715766783,0.008673402715766783,**,ND,Drought,0
Veg,SHR,7.496994576338672,4725.072409489012,7.752875467559462e-14,7.752875467559462e-14,***,ND,Drought,-0.5
