Category,Group,sites_n,n_obs,mean,sd,median,ci_low,ci_high,tukey
Vegetation type,DBF,7,8423,-2.6041790335984802,1.9500815276850707,-2.5,-2.645830459903761,-2.5625276072931995,c
Vegetation type,ENF,8,7812,-3.0097926267281108,2.15027250728724,-3,-3.057482676718113,-2.9621025767381086,a
Vegetation type,GRA,14,17792,-2.942277428057554,2.004396535145606,-3,-2.971731740982069,-2.912823115133039,a
Vegetation type,SHR,11,15617,-3.661970929115707,2.2039493434349553,-3.5,-3.696539749231843,-3.6274021089995716,b
