Category,Veg,Drought,sites_n,n_obs,mean,sd,median,ci_low,ci_high
Veg,DBF,ND,7,6366,-2.5327521206409047,1.9473397642826438,-2.5,-2.5805974004529344,-2.484906840828875
Veg,DBF,Drought,7,2057,-2.8252309188138067,1.942437760386037,-3,-2.909222121207576,-2.7412397164200373
Veg,ENF,ND,8,6123,-2.9386738526865916,2.15217469890579,-3,-2.9925913039242893,-2.884756401448894
Veg,ENF,Drought,8,1689,-3.26761397276495,2.124116555181052,-3.5,-3.368987165492172,-3.1662407800377275
Veg,GRA,ND,14,13772,-2.9202730177171072,1.9765703324439594,-3,-2.9532871608049045,-2.88725887462931
Veg,GRA,Drought,14,4020,-3.0176616915422887,2.0954307581449143,-3,-3.0824563478263305,-2.952867035258247
Veg,SHR,ND,11,12426,-3.59242716883953,2.168581162251173,-3.5,-3.630560118969002,-3.554294218710058
Veg,SHR,Drought,11,3191,-3.9327796928862426,2.3171252351836307,-4,-4.0132061630150515,-3.8523532227574337
