Category,AI_cat,F,df1,df2,p,sig,omega_sq
AI_cat,Arid,29.780540812973108,2,23225,1.2106854633666274e-13,***,0.0024719645545224255
AI_cat,Humid,61.667225894944806,2,26413,1.908087274085836e-27,***,0.004572217002816041
