Category,AI_cat,drought_cat,sites_n,n_obs,mean,sd,median,ci_low,ci_high
AI_cat,Arid,ND,13,18699,-3.4209583400181827,2.17415704169167,-3.5,-3.4521226793437987,-3.3897940006925666
AI_cat,Arid,LS,13,4489,-3.69369570060147,2.3545870385645657,-4,-3.7625934724504124,-3.624797928752528
AI_cat,Arid,MS,1,40,-4.2125,2.430805237480803,-4.5,-4.989909230087725,-3.435090769912276
AI_cat,Humid,ND,27,19988,-2.7519511707024216,1.9711631743684035,-2.5,-2.7792794506710226,-2.7246228907338206
AI_cat,Humid,LS,27,4465,-3.110862262038074,2.0170156089904463,-3,-3.1700408213427087,-3.051683702733439
AI_cat,Humid,MS,14,1963,-2.736372898624554,1.9453966908918159,-3,-2.8224849849909286,-2.6502608122581797
