Category,AI_cat,comparison,group1,group2,diff,lwr,upr,p_adj,sig
AI_cat,Arid,LS-ND,LS,ND,-0.27273736058317555,-0.35885487366929186,-0.18661984749705923,0,***
AI_cat,Arid,MS-ND,MS,ND,-0.7915416599810592,-1.6116624974445637,0.028579177482445428,0.06126538127188541,ns
AI_cat,Arid,MS-LS,MS,LS,-0.5188042993978836,-1.3416912766047882,0.3040826778090209,0.30166042988972364,ns
AI_cat,Humid,LS-ND,LS,ND,-0.35891109133555554,-0.43561186659478535,-0.28221031607632574,2.6645352591003757e-14,***
AI_cat,Humid,MS-ND,MS,ND,0.015578272077859001,-0.09402194552245283,0.12517848967817083,0.940664566249128,ns
AI_cat,Humid,MS-LS,MS,LS,0.37448936341341454,0.24900311537989625,0.4999756114469328,8.019473973774893e-12,***
