Category,Veg,drought_cat,t,df,p,p_adj,sig,baseline,med_diff
Veg,DBF,LS,-4.9474857668507655,1602.963261370478,8.308181081382082e-7,8.308181081382082e-7,***,ND,-0.5
Veg,DBF,MS,-3.976926729661024,1179.7094319836654,7.405895201547116e-5,7.405895201547116e-5,***,ND,-0.5
Veg,ENF,LS,-6.098964565334065,2306.7792561334004,1.2481499894728444e-9,1.2481499894728444e-9,***,ND,-0.5
Veg,ENF,MS,-0.08729399158530111,212.8302768512324,0.9305199056303392,0.9305199056303392,ns,ND,0
Veg,GRA,LS,-5.252110175909872,4670.843750237951,1.5704703877834302e-7,1.5704703877834302e-7,***,ND,0
Veg,GRA,MS,6.789638994399539,853.65231027346,2.1041258812686775e-11,2.1041258812686775e-11,***,ND,0.5
Veg,SHR,LS,-7.64027109426802,4445.806101277923,2.6381230928409314e-14,2.6381230928409314e-14,***,ND,-0.5
Veg,SHR,MS,-0.2623962704628327,143.03607212189416,0.7933934814027039,0.7933934814027039,ns,ND,-0.5
